ctr,country,pdi,idv,mas,uai,ltowvs,ivr,isregion,ji,ji_1,ji_3
AFE,Africa East,64,27,41,52,32,40,1,,,
AFW,Africa West,77,20,46,54,9,78,1,,,
ARA,Arab countries,80,38,53,68,23,34,1,,,
BEF,Belgium French,67,72,60,93,,,1,,,
BEN,Belgium Netherl,61,78,43,97,,,1,,,
CAF,Canada French,54,73,45,60,,,1,,,
GEE,Germany East,,,,,78,34,1,,,
SAW,South Africa white,49,65,63,49,,,1,,,
SWF,Switzerland French,70,64,58,70,,,1,,,
SWG,Switzerland German,26,69,72,56,,,1,,,
ALB,Albania,,,,,61,15,0,1f1e6\\U0001f1f1,1f1e6,U0001f1f1
ALG,Algeria,,,,,26,32,0,1f1e9\\U0001f1ff,1f1e9,U0001f1ff
AND,Andorra,,,,,,65,0,1f1e6\\U0001f1e9,1f1e6,U0001f1e9
ARG,Argentina,49,46,56,86,20,62,0,1f1e6\\U0001f1f7,1f1e6,U0001f1f7
ARM,Armenia,,,,,61,,0,1f1e6\\U0001f1f2,1f1e6,U0001f1f2
AUL,Australia,38,90,61,51,21,71,0,1f1e6\\U0001f1fa,1f1e6,U0001f1fa
AUT,Austria,11,55,79,70,60,63,0,1f1e6\\U0001f1f9,1f1e6,U0001f1f9
AZE,Azerbaijan,,,,,61,22,0,1f1e6\\U0001f1ff,1f1e6,U0001f1ff
BAN,Bangladesh,80,20,55,60,47,20,0,1f1e7\\U0001f1e9,1f1e7,U0001f1e9
BLR,Belarus,,,,,81,15,0,1f1e7\\U0001f1fe,1f1e7,U0001f1fe
BEL,Belgium,65,75,54,94,82,57,0,1f1e7\\U0001f1ea,1f1e7,U0001f1ea
BOS,Bosnia,,,,,70,44,0,1f1e7\\U0001f1e6,1f1e7,U0001f1e6
BRA,Brazil,69,38,49,76,44,59,0,1f1e7\\U0001f1f7,1f1e7,U0001f1f7
BUL,Bulgaria,70,30,40,85,69,16,0,1f1e7\\U0001f1ec,1f1e7,U0001f1ec
BUF,Burkina Faso,,,,,27,18,0,1f1e7\\U0001f1eb,1f1e7,U0001f1eb
CAN,Canada,39,80,52,48,36,68,0,1f1e8\\U0001f1e6,1f1e8,U0001f1e6
CHL,Chile,63,23,28,86,31,68,0,1f1e8\\U0001f1f1,1f1e8,U0001f1f1
CHI,China,80,20,66,30,87,24,0,1f1e8\\U0001f1f3,1f1e8,U0001f1f3
COL,Colombia,67,13,64,80,13,83,0,1f1e8\\U0001f1f4,1f1e8,U0001f1f4
COS,Costa Rica,35,15,21,86,,,0,1f1e8\\U0001f1f7,1f1e8,U0001f1f7
CRO,Croatia,73,33,40,80,58,33,0,1f1ed\\U0001f1f7,1f1ed,U0001f1f7
CYP,Cyprus,,,,,,70,0,1f1e8\\U0001f1fe,1f1e8,U0001f1fe
CZE,Czech Rep,57,58,57,74,70,29,0,1f1e8\\U0001f1ff,1f1e8,U0001f1ff
DEN,Denmark,18,74,16,23,35,70,0,1f1e9\\U0001f1f0,1f1e9,U0001f1f0
DOM,Dominican Rep,,,,,13,54,0,1f1e9\\U0001f1f4,1f1e9,U0001f1f4
ECA,Ecuador,78,8,63,67,,,0,1f1ea\\U0001f1e8,1f1ea,U0001f1e8
EGY,Egypt,,,,,7,4,0,1f1ea\\U0001f1ec,1f1ea,U0001f1ec
ETH,Ethiopia,,,,,,46,0,1f1ea\\U0001f1f9,1f1ea,U0001f1f9
SAL,El Salvador,66,19,40,94,20,89,0,1f1f8\\U0001f1fb,1f1f8,U0001f1fb
EST,Estonia,40,60,30,60,82,16,0,1f1ea\\U0001f1ea,1f1ea,U0001f1ea
FIN,Finland,33,63,26,59,38,57,0,1f1eb\\U0001f1ee,1f1eb,U0001f1ee
FRA,France,68,71,43,86,63,48,0,1f1eb\\U0001f1f7,1f1eb,U0001f1f7
GEO,Georgia,,,,,38,32,0,1f1ec\\U0001f1ea,1f1ec,U0001f1ea
GER,Germany,35,67,66,65,83,40,0,1f1e9\\U0001f1ea,1f1e9,U0001f1ea
GHA,Ghana,,,,,4,72,0,1f1ec\\U0001f1ed,1f1ec,U0001f1ed
GBR,Great Britain,35,89,66,35,51,69,0,1f1ec\\U0001f1e7,1f1ec,U0001f1e7
GRE,Greece,60,35,57,112,45,50,0,1f1ec\\U0001f1f7,1f1ec,U0001f1f7
GUA,Guatemala,95,6,37,101,,,0,1f1ec\\U0001f1f9,1f1ec,U0001f1f9
HOK,Hong Kong,68,25,57,29,61,17,0,1f1ed\\U0001f1f0,1f1ed,U0001f1f0
HUN,Hungary,46,80,88,82,58,31,0,1f1ed\\U0001f1fa,1f1ed,U0001f1fa
ICE,Iceland,,,,,28,67,0,1f1ee\\U0001f1f8,1f1ee,U0001f1f8
IND,India,77,48,56,40,51,26,0,1f1ee\\U0001f1f3,1f1ee,U0001f1f3
IDO,Indonesia,78,14,46,48,62,38,0,1f1ee\\U0001f1e9,1f1ee,U0001f1e9
IRA,Iran,58,41,43,59,14,40,0,1f1ee\\U0001f1f7,1f1ee,U0001f1f7
IRQ,Iraq,,,,,25,17,0,1f1ee\\U0001f1f6,1f1ee,U0001f1f6
IRE,Ireland,28,70,68,35,24,65,0,1f1ee\\U0001f1ea,1f1ee,U0001f1ea
ISR,Israel,13,54,47,81,38,,0,1f1ee\\U0001f1f1,1f1ee,U0001f1f1
ITA,Italy,50,76,70,75,61,30,0,1f1ee\\U0001f1f9,1f1ee,U0001f1f9
JAM,Jamaica,45,39,68,13,,,0,1f1ef\\U0001f1f2,1f1ef,U0001f1f2
JPN,Japan,54,46,95,92,88,42,0,1f1ef\\U0001f1f5,1f1ef,U0001f1f5
JOR,Jordan,,,,,16,43,0,1f1ef\\U0001f1f4,1f1ef,U0001f1f4
KOR,Korea South,60,18,39,85,100,29,0,1f1f0\\U0001f1f7,1f1f0,U0001f1f7
KYR,Kyrgyz Rep,,,,,66,39,0,1f1f0\\U0001f1ec,1f1f0,U0001f1ec
LAT,Latvia,44,70,9,63,69,13,0,1f1f1\\U0001f1fb,1f1f1,U0001f1fb
LIT,Lithuania,42,60,19,65,82,16,0,1f1f1\\U0001f1f9,1f1f1,U0001f1f9
LUX,Luxembourg,40,60,50,70,64,56,0,1f1f1\\U0001f1fa,1f1f1,U0001f1fa
MAC,Macedonia Rep,,,,,62,35,0,1f1f2\\U0001f1f0,1f1f2,U0001f1f0
MAL,Malaysia,104,26,50,36,41,57,0,1f1f2\\U0001f1fe,1f1f2,U0001f1fe
MLI,Mali,,,,,20,43,0,1f1f2\\U0001f1f1,1f1f2,U0001f1f1
MLT,Malta,56,59,47,96,47,66,0,1f1f2\\U0001f1f9,1f1f2,U0001f1f9
MEX,Mexico,81,30,69,82,24,97,0,1f1f2\\U0001f1fd,1f1f2,U0001f1fd
MOL,Moldova,,,,,71,19,0,1f1f2\\U0001f1e9,1f1f2,U0001f1e9
MNG,Montenegro,,,,,75,20,0,1f1f2\\U0001f1ea,1f1f2,U0001f1ea
MOR,Morocco,70,46,53,68,14,25,0,1f1f2\\U0001f1e6,1f1f2,U0001f1e6
NET,Netherlands,38,80,14,53,67,68,0,1f1f3\\U0001f1f1,1f1f3,U0001f1f1
NZL,New Zealand,22,79,58,49,33,75,0,1f1f3\\U0001f1ff,1f1f3,U0001f1ff
NIG,Nigeria,,,,,13,84,0,1f1f3\\U0001f1ec,1f1f3,U0001f1ec
NOR,Norway,31,69,8,50,35,55,0,1f1f3\\U0001f1f4,1f1f3,U0001f1f4
PAK,Pakistan,55,14,50,70,50,0,0,1f1f5\\U0001f1f0,1f1f5,U0001f1f0
PAN,Panama,95,11,44,86,,,0,1f1f5\\U0001f1e6,1f1f5,U0001f1e6
PER,Peru,64,16,42,87,25,46,0,1f1f5\\U0001f1ea,1f1f5,U0001f1ea
PHI,Philippines,94,32,64,44,27,42,0,1f1f5\\U0001f1ed,1f1f5,U0001f1ed
POL,Poland,68,60,64,93,38,29,0,1f1f5\\U0001f1f1,1f1f5,U0001f1f1
POR,Portugal,63,27,31,104,28,33,0,1f1f5\\U0001f1f9,1f1f5,U0001f1f9
PUE,Puerto Rico,,,,,0,90,0,1f1f5\\U0001f1f7,1f1f5,U0001f1f7
ROM,Romania,90,30,42,90,52,20,0,1f1f7\\U0001f1f4,1f1f7,U0001f1f4
RUS,Russia,93,39,36,95,81,20,0,1f1f7\\U0001f1fa,1f1f7,U0001f1fa
RWA,Rwanda,,,,,18,37,0,1f1f7\\U0001f1fc,1f1f7,U0001f1fc
SAU,Saudi Arabia,,,,,36,52,0,1f1f8\\U0001f1e6,1f1f8,U0001f1e6
SER,Serbia,86,25,43,92,52,28,0,1f1f7\\U0001f1f8,1f1f7,U0001f1f8
SIN,Singapore,74,20,48,8,72,46,0,1f1f8\\U0001f1ec,1f1f8,U0001f1ec
SLK,Slovak Rep,104,52,110,51,77,28,0,1f1f8\\U0001f1f0,1f1f8,U0001f1f0
SLV,Slovenia,71,27,19,88,49,48,0,1f1f8\\U0001f1ee,1f1f8,U0001f1ee
SAF,South Africa,,,,,34,63,0,1f1ff\\U0001f1e6,1f1ff,U0001f1e6
SPA,Spain,57,51,42,86,48,44,0,1f1ea\\U0001f1f8,1f1ea,U0001f1f8
SUR,Suriname,85,47,37,92,,,0,1f1f8\\U0001f1f7,1f1f8,U0001f1f7
SWE,Sweden,31,71,5,29,53,78,0,1f1f8\\U0001f1ea,1f1f8,U0001f1ea
SWI,Switzerland,34,68,70,58,74,66,0,1f1e8\\U0001f1ed,1f1e8,U0001f1ed
TAI,Taiwan,58,17,45,69,93,49,0,1f1f9\\U0001f1fc,1f1f9,U0001f1fc
TAN,Tanzania,,,,,34,38,0,1f1f9\\U0001f1ff,1f1f9,U0001f1ff
THA,Thailand,64,20,34,64,32,45,0,1f1f9\\U0001f1ed,1f1f9,U0001f1ed
TRI,Trinidad and Tobago,47,16,58,55,13,80,0,1f1f9\\U0001f1f9,1f1f9,U0001f1f9
TUR,Turkey,66,37,45,85,46,49,0,1f1f9\\U0001f1f7,1f1f9,U0001f1f7
USA,U.S.A.,40,91,62,46,26,68,0,1f1fa\\U0001f1f8,1f1fa,U0001f1f8
UGA,Uganda,,,,,24,52,0,1f1fa\\U0001f1ec,1f1fa,U0001f1ec
UKR,Ukraine,,,,,86,14,0,1f1fa\\U0001f1e6,1f1fa,U0001f1e6
URU,Uruguay,61,36,38,100,26,53,0,1f1fa\\U0001f1fe,1f1fa,U0001f1fe
VEN,Venezuela,81,12,73,76,16,100,0,1f1fb\\U0001f1ea,1f1fb,U0001f1ea
VIE,Vietnam,70,20,40,30,57,35,0,1f1fb\\U0001f1f3,1f1fb,U0001f1f3
ZAM,Zambia,,,,,30,42,0,1f1ff\\U0001f1f2,1f1ff,U0001f1f2
ZIM,Zimbabwe,,,,,15,28,0,1f1ff\\U0001f1fc,1f1ff,U0001f1fc
